video_id,paragraph,questions
-1BnXEwHUok,"So what we got with the sample was 0.
So what's the obvious thing to do? If you're doing a simulation of an event and the event is pretty rare, you want to try it on a very large number of trials.
So let's go back to our code.
And we'll change it to instead of 1,000, 1,000,000.
You can see up here, by the way, where I set the seed.
And now, let's run it.
We did a lot better.
If we look at here our estimated probability, it's three 0's 128, still not quite the actual probability but darn close.
And maybe if I had done 10 million, it would have been even closer.
So if you're writing a simulation to compute the probability of an event and the event is moderately rare, then you better run a lot of trials before you believe your estimated probability.
In a week or so, we'll actually look at that more mathematically and say, what is a lot, how do we know what is enough.
What are the morals here? Moral one, I've just told you-- takes a lot of trials to get a good estimate of the frequency of a rare event.
Moral two, we should always, if we're getting an estimated probability, know that, and probably say that, and not confuse it with the actual probability.",29:54 How do we know the number of samples required so that the estimated probability is equal to the actual probability ? Thanks.
-DP1i2ZU9gk,"And the second thing that represents a list is going to be this second part, which is a pointer.
And internally this pointer is going to tell Python where is the memory location in the computer where you can access the element index 1.
So it's just essentially going to be a chain, going from one index to the other.
And at the next memory location you have the value at index 1, and then you have another pointer that takes you to the location in memory where the index 2 is located.
And in index 2 you have the value and then the next pointer, and so on and so on.
So this is how Python internally represents a list.
OK? How you manipulate lists, we've done this a lot, right? You can index into a list, you can add two lists together, you can get the length, you can append to the end of a list, you can sort a list, reverse a list, and so many other things, right? So these are all ways that you can interact with the list object as soon as you've created it.","I would like to get this clarified: At 5:53 , the diagram explains that python lists are represented internally as linked list. In my understanding, this is incorrect because python lists are internally represented as dynamic arrays as explained here https://youtu.be/CHhwJjR0mZA?t=2082"
-DP1i2ZU9gk,"And then I've also implemented some other special methods.
How do I add two fractions? How do I subtract two fractions? And how do I convert a fraction to a float? The add and subtract are almost the same, so let's look at the add for the moment.
How do we add two fractions? We're going to take self, which is the instance of an object that I want to do the add operation on, and we're going to take other, which is the other instance of an object that I want to do the operation on, so the addition, and I'm going to figure out the new top.
So the new top of the resulting fraction.
So it's my numerator multiplied by the other denominator plus my denominator multiplied by the other numerator and then divided by the multiplication of the two denominators.
So the top is going to be that, the bottom is going to be that.
Notice that we're using self dot, right? Once again, we're trying to access the data attributes of each different instance, right, of myself and the other object that I'm working with.
So that's why I have to use self dot here.
Once I figure out the top and the bottom of the addition, I'm going to return, and here notice I'm returning a fraction object.
It's not a number, it's not a float, it's not an integer.
It's a new object that is of the exact same type as the class that I'm implementing.
So as it's the same type of object, then on the return value I can do all of the exact same operations that I can do on a regular fraction object.
Sub is going to be the same.
I'm returning a fraction object.
Float is just going to do the division for me, so it's going to take the numerator and then divide it by the denominator, just divide the numbers.","First thank you for this great tutorial! In 36:00, why do we have inverse function without the leading and trailing underscores? What does it mean those underscores make a function ""magical""?
~36:00. c = a + b. How is a and b assigned to ""self"" and ""other"", how do you know which gets assigned to what? Would appreciate an explanation what happens and where a and b values are sent."
-DP1i2ZU9gk,"And this one on the right essentially says, what's the name of the class, dot, dot notation, what's the method you want to call, and then in parentheses you give it all of the variables including self.
OK.
So in this case you're explicitly telling Python that self is C and other is 0.
So this is a little bit easier to understand, like that.
But it's a little cumbersome because you always have to write coordinate dot, coordinate dot, coordinate dot, for every data attribute you might want to access, for every procedural attribute you might want to access.
So by convention, it's a lot easier to do the one on the left.
And as I mentioned, Python implicitly says, if you're doing the one on the left, you can call this method on a particular object and it's going to look up the type of the object and it's going to essentially convert this on the left to the one on the right.
And this is what you've been using so far.
So when you create a list, you say L is equal to 1, 2, and then you say L.append, you know, 3 or whatever.",In 26:00 can we write zero.distance(c) instead of c.distance(zero)??
09mb78oiPkA,"PATRICK WINSTON: Yes? [? SPEAKER 1: Are we, ?] necessarily, have it done with some sort of a [? politidy distance ?] metric? PROF.
PATRICK WINSTON: Oh, here we go.
We're not going to use any [? politidy distance ?] metric.
We're going to use some other metric.
SPEAKER 1: Like alogrithmic, or whatnot? PROF.
PATRICK WINSTON: Well, algorithmic, gees, I don't know.
[LAUGHTER] PROF.
PATRICK WINSTON: Let me give you a hint.
Let me give you a hint.
There are all those articles up there, out there, and out there, just for example.
And here are the Town and Country articles.
They're out there, and out there, for example.
And now our unknown is out there.
Anybody got an idea now? Hey Brett, what do you think? BRETT: So you sort of want the ratio.
Or in this case, you can take the angle-- PROF.
PATRICK WINSTON: Let's be-- ah, there we go, we're getting a little more sophisticated.
The angle between what? BRETT: The angle between the vectors.
PROF.
PATRICK WINSTON: The vectors.
Good.
So we're going to use a different metric.
What we're going to do is, we're going to forget including a distance, and we're going to measure the angle between the vectors.
So the angle between the vectors, well let's actually measure the cosine of the angle between the vectors.
Let's see how we can calculate that.
So we'll take the cosine of the angle between the vectors, we'll call it theta.
That's going to be equal to the sum of the unknown values times the article values.
Those are just the values in various dimensions.
And then we'll divide that by the magnitude of the other vectors.
So we'll divide by the magnitude of u, and we'll divide by the magnitude of the art vector to the article.
So that's just the dot product right? That's a very fast computation.
So with a very fast computation you can see if these things are going to be in the same direction.","At 23:01 the professor says 'so that's just the dot product, right' - but that's to say that cosine similarity = dot product, which is not precise, right? The dot product is the numerator in this case."
09mb78oiPkA,"So we'll call this the feature detector.
And out comes a vector of values.
And that vector of values goes into a comparator of some sort.
And that comparator compares the feature vector with feature vectors coming from a library of possibilities.
And by finding the closest match the comparator determines what some object is.
It does recognition.
So let me demonstrate that with these electrical covers.
Suppose they arrived on an assembly line and some robot wants to sort them.
How would it go about doing that? Well it could easily use the nearest neighbor sorting mechanism.
So how would that work? Well here's how if would work.
You would make some measurements.
And it we'll just make some measurements in two dimensions.",What is comparitor 8:32? Couldn't find on the web. Is this a spelling mistake?
09mb78oiPkA,"What's the variance of that going to be? x over sigma sub x.
Anybody see, instantaneously, what the variance of that's going be? Or do we have to work it out? It's going to be 1, Work out the algebra for me.
It's obvious, it's simple.
Just substitute x prime into this formula for variance, and do the algebraic high school manipulation.
And you'll see that the variance turns out not to be of this new variable, this transformed variable you want.
So that problem, the non uniformity problem, the spread problem, is easy to handle.
What about that other problem? No cake without flour? What if it turns out that the data-- you have two dimensions and the answer, actually, doesn't depend on y at all.
What will happen? Then you're often going to get screwy results, because it'll be measuring a distance that is merely confusing the answer.
So problem number two is the what matters problem.
Write it down, what matters.
Problem number three is, what if the answer doesn't depend on the data at all? Then you've got the trying to build a cake without flour.
Once somebody asked me-- a classmate of mine, who went on to become an important executive in an important credit card company-- asked me if we could use artificial intelligence to determine when somebody was going to go bankrupt? And the answer was, no.
Because the data available was data that was independent of that question.
So he was trying to make a cake without flour, and you can't do that.
So that concludes what I want to say about nearest neighbors.
No I want to talk a little bit about sleep.","At 41:45, the professor indicates that you cannot use AI for predicting bankruptcies in credit card companies. That's like making cake without flour. Wouldn't the credit card company have relevant data to be able to use AI to predict bankruptcies? Why is the answer ""no""?
did someone understand in 40:00 the derivative of x ?"
0CdxkgAjsDA,"Among all those nodes that have a job in delta f, in delta.
This is probably a tricky part.
Then by definition, since delta f u is less than delta f v, right, and I defined v to be the one with the smallest delta that satisfies that.
So all the u's-- so u is a predecessor of v, so u shouldn't be one of those nodes that have a drop in delta.
So I know this is probably a tricky part.
Yeah, I'll stop for questions and make sure we resolve this part before we move on.","the tricky part at 16:55 can be proved by contradiction: Assume we have delta_f'(u) < delta_f(u), then u is in the set of vertices x that satisfy delta_f'(x) < delta_f(x). Meanwhile, we know delta_f'(u)<delta_f'(v) as u is the predecessor of v. However, this contradicts that v is the smallest delta_f'(x) in the set of vertices x. In this case, u is the smallest. The contradiction implies that the assumption (""Assume we have delta_f'(u) < delta_f(u)"") is wrong, which means ""delta_f'(u) >= delta_f(u)""."
0CdxkgAjsDA,"How many people get it? OK.
Only two.
That's not good.
OK.
AUDIENCE: I'm confused about how v can be the one with the smallest delta f if you have a predecessor with a smaller delta f.
PROFESSOR: OK.
So v to be the smallest-- the one with smallest f such that delta f prime is less than delta f.
AUDIENCE: OK.
PROFESSOR: OK, maybe, yeah, that's why I confused you guys.
Yeah.
Sorry about that.
So we have a bunch of nodes who have a drop in delta, and I defined v to be the one among them that has the smallest delta f prime.
Question? AUDIENCE: Sorry, I'm lost at what delta f prime is versus delta.
PROFESSOR: OK.
Delta f of a node is the shortest path from source to that node in G of f, which is the residual graph given a flow.
So f is, well, some flow, and f prime is the flow after we augmenting a certain path.
So f prime is one step after f.
OK.
How many people get that now? Still not everyone.
OK.
Any questions about that? How many people still haven't got that? OK, so some people-- it's like Schrodinger's cat.","On 17:55 he didn't ask the question. If delta_f^'(v) is the smallest one, then v must be the successor of s. How can there be a u between s and v?"
0LixFSa7yts,"And that turns out to be pretty problematic.
So the next couple of slides sort of say a little bit about the why and how this happens.
What's presented here is a kind of only semi-formal wave your hands at the kind of problems that you might expect.
If you really want to sort of get into all the details of this, you should look at the couple of papers that are mentioned in small print at the bottom of the slide.
But at any rate, if you remember that this is our basic recurrent neural network equation, let's consider an easy case.
Suppose we sort of get rid of our non-linearity and just assume that it's an identity function.
OK, so then when we're working out the partials of the hidden state with respect to the previous hidden state, we can work those out in the usual way according to the chain rule.
And then, if sigma is simply the identity function, well then, everything gets really easy for us.
So only-- the sigma just goes away.
And only the first term involves h at time t minus 1.
So the later terms go away.
And so our gradient ends up as Wh.
Well, that's doing it for just one time step.
What happens when you want to work out these partials a number of time steps away? So we want to work it out, the partial of time step i with respect to j.
Well, what we end up with is a product of the partials of successive time steps.
And well, each of those is coming out as Wh and so we end up getting Wh raised to the l-th power.
And while our potential problem is that if Wh is small in some sense, then this term gets exponentially problematic.",at 41:00 why is del J / del h even needed?
