paragraph,questions
"All right? So this is just scaling.
[NOISE] Now scaling.
[NOISE] That is scaling along the axes- [NOISE] along the, uh, the x and y-axes, not the eigen- eigenvector but scaling along the axes.
[NOISE] Right? Now, [NOISE] the scaling for the singular value decomposition is always real-valued, right? Uh, because S is always gonna be real-valued for SVD.
So this is a real-valued scaling, [NOISE] right? But for the eigenvalue decomposition, some of your eigenvalues may be complex.
And scaling by a complex value essentially means there is some amount of rotation involved, right? Scaling by a- a- a complex number, ah, means there could be rotation.
[NOISE] If eigenvalue is complex, [NOISE] right? And then, Step 3 is another rotation.
Here, the Step 3 is gonna be, ah, rotating it by U.
So this is just Rotation 1 [NOISE] and this is Rotation 2, [NOISE] right? Means your- your- we rotate in- in SVD.
We [NOISE] rotate it, scale it along the, ah, diagonals after rotating.
And then, rotate it by a different amount corresponding to U.
Whereas with singular value decomposition, ah, with eigenvalue decomposition, first, we rotate it, then scale it.
But the scaling may- you know, if you have complex, ah, eigenvalue, the scaling may, ah, involve some implicit rotation, and then we [NOISE] rotate it by U, which is basically the inverse of the 1st step.",I have a question at https://youtu.be/b0HvwszmqcQ?t=3327. If the eigen values are equal that means do we get a scaled sphere instead of an ellipsoid?
"And so we do inference on the target samples-- Yeah.
--for which we don't have labels.
But the predictions, if those have good certainty, if the model is much more confident on the samples-- of some samples-- On test domain? On the test domain, yeah.
Could we use them as a ground truth-- [INTERPOSING VOICES] The question is, we can use labels from-- you can some examples with some pseudo-labels in the target domain.
Yeah.
This is another question would be close to some domain adaptation or semi supervise the linear settings.
Yeah.
We will not consider these settings here.
Is there data on how this performs on, I mean, out of either domain distribution? So if you then showed a blue five and a blue two.
Does it work better on those than if you had not done any red-green augmentation? Your question is that if we have any blue ones or any auto-distribution, something like that? Yeah, it definitely works.
So for example, we can put this example here, is we change the background from green to blue.
So it can still work very well.
So because in case you will learn some digit information and ignore this domain information.
So another variant of LISA is called intra-domain LISA.",would abductive generalization help with domain adaptation?
"What is another way to do that? You relabel your datasets by taking into account the boundaries.
The model still doesn't perform well.
I think it's all about the weighting of the loss function.
It's likely that the number of pixels that are boundaries are going to be fewer than the number of pixels that are cells or no cells.
So the network will be biased towards predicting cell or no cell.
Instead, what you can do is, when you compute your loss function, your loss function should have three terms.
One, binary cross-entropy let's say for no cell, one for cell, [NOISE] and one for boundary.
[NOISE] Okay, and this is going to be summed over, i equals 1 to n_i.
The whole output pixel values.
What you can do is to attribute a coefficient to each of those; alpha, beta or one.",Hi. I think you are missing the non-linearity added in each layer( like RELU or tanh ) which affects the derivatives.
"So, as soon as that clock runs out at two minutes, some answer is available.
It'll be the best one that the system can compute in the time available given the characteristics of the game tree as it's developed so far.
So, there are other kinds of anytime algorithms.
This is an example of one.
That's how all game playing programs work, minimax, plus alpha-beta, plus progressive deepening.
Christopher, is alpha-beta a alternative to minimax? CHRISTOPHER: No.
SPEAKER 1: No, it's not.
It's something you layer on top of minimax.
Does alpha-beta give you a different answer from minimax? CHRISTOPHER: No.
No, it doesn't.
SPEAKER 1: Let's see everybody shake their head one way or the other.","I have a few questions. The first one is, is Minimax considered as a state space search? If it is is there a Goal state/node?
I understand how minimax and alpha-beta algorithms work. But I can't understand how they are able to find a good solution. How can alternatively selecting the minimum and maximum values in consecutive levels of a game tree provide a good solution? Can someone help me out here?
I paused the video just after he explained the 2^2 British museum method, and I thought ""hang on, shouldn't the player who's making the move be trying to figure out what the implications of planning 5 moves ahead are given that each second successive state has to make assumptions about what the opponent would do in the intermediate state? So I started thinking about how you might predict an opponents move and even got onto thinking if you could use a neural network to predict it based off the opponents previous moves!"" Then he explained minimax and I felt stupid... Although it does raise a second question, ""If you matched two of these algorithms against each other, is the result deterministic?"" Any ideas?
I wonder how much you save by using the tree of the last move as a basis for the next one, since the min player can be a human, and he might not take the branch you predicted. So the alpha beta algorithm assumes the min player will always take the option that is most in the min player's own interest, which is not always the case in computationally ""flawed"" humans."
"How far should the drunk move in zero steps? Zero.
How far should the drunk move in one steps? We know that should be one.
Two steps, well, we knew what that should be.
Well, if I run this sanity check, these are the numbers I get.
I should be pretty suspicious.
I should also be suspicious they're kind of the same numbers I got for 10,000 steps.
What should I think about? I should think that maybe there's a bug in my code.
So if we now go back and look at the code, yes, this fails the pants on fire test that there's clearly something wrong with these numbers.
What we were appending is walk of Homer, numTrials, 1.
Well, numTrials is a constant.
It's always 100.
What I intended to write here was not numTrials but numSteps.
I actually did this the first time I wrote this simulation many years ago.","If someone could help me, in the textbook there's another exemple of drunk: the EW Drunk, moving only in the horizontal axe (-1, 0) and (1, 0). However this drunk is also getting farther away from the origin. But why? If after n number of steps he has equal chance to step etiher W or E, wasn't he supposed to be back to the origin according to the law of big numbers? Isn't it the same as to flip n coins and count number of head and tails?
I did not have run the simmulation because the result is presented in the textbook. The professor is computing the average of distances and not the expected value of the random walk. The random walk should be a bell curve with its peak at distance zero, so the expected value of the walk is always zero for the EW. What happens is that when the number of steps increases the bell curve becomes wider and you have small probabilities of finding bigger distances, hence the 'mean' distance increases a little bit. Hower the expected distance to the origin is still zero. Kind of misleading IMO but it is correct."
"Oh by the way, whenever I do a rotation, I'm also going to have to update my subtree properties.
When I rotate this edge, A does not change, B does not change, C does not change.
So that's good.
But x's subtree changes.
It now has y.
It didn't before.
So we're going to have to also update the augmentation here in y.
And we're going to have to update the augmentation in x.
And we're going to have to update the augmentation of all of the ancestors of x eventually.
So rotation is locally just changing a constant number of pointers.
So I usually think of rotations as taking constant time.
But eventually, we will have to do-- this is constant time locally.
But we will need to update h ancestors in order to store all of-- keep all of our augmentations up to date.
We'll worry about that later.
All right, so great.
Now we have the height of all the nodes.
We can compute the skew of all the nodes, cool.
We have this rotation operation.
And we want to maintain this height balance property.
Height of left node-- left and right of every node-- is plus or minus 1, or 0.
Cool, so I said over here somewhere, whenever we-- so the only things that change the tree are when we insert or delete a new node.","His formula skew(node) = height(node.right) - height(node.left) is correct. But your calculation implicitly suggests that you thought height(NIL) = 0, which is wrong. In fact, the height (and depth) in his class (see Lecture 6) is defined as the # edges, not # nodes. So height(leaf) = 0 (1 node subtree has 0 edge), and height(NIL) = -1. The latter case for NIL must be defined this way to ensure that the recursive relationship height(node) = 1 + max{height(node.left), height(node.right)} holds even if node = leaf, i.e., height(leaf) = 1 + max{height{NIL}, height{NIL}} = 1 + max{-1, -1} = 1 + (-1) = 0. Now back to your example, the correct drawing with more details becomes: Z (height(Z): 2, skew(Z) = height(Y) - height(NIL) = 1 - (-1) = 2) \ Y (height(Y) = 1, skew(Y) = height(X) - height(NIL) = 0 - (-1) = 1) \ X (height(X) = 0, skew(X) = height(NIL) - height(NIL) = -1 - (-1) = 0) So Z is unbalanced, and we need to perform right_rotate(Z) to restore the balance.
Just think about a local property, as that depends only on the node's subtree. The depth depends on what happens above the node, so it cannot be local."
"There's combinations, there's also a little bit of look ahead, where the hardest puzzles are the ones where you run out of the eights and the ones in terms of the examples that we have here where we've just sort of implied-- without guessing, we've implied the location of a number.
And then because of that, our puzzle got smaller in the sense that there's fewer blank locations, blank squares.
And then that helps us move forward.
So the easy puzzles are the ones where fairly straightforward implications like the ones we did here always exist, are easy to find.
Sometimes you have to search a little bit, look at the top, look at the bottom, look at the middle.
And then you fill things in.
And because you filled things in, something else now is in play, right? It becomes viable in terms of an implication.
The fact that I put an eight in there implies that the eight is now taken-- its location.
And so now obviously there's only four left here.","Interesting. Are you saying that if a puzzle requires guessing then it's essentially ""indeterminate"" and would have more than one solution? I mean, if you had a sudoku board with only one number populated, you'd have a large number of solutions that would be possible, and then if you had a board with another number added, you'd have a smaller set, and so on until you would have one that would still have multiple solutions until you constrained it with a final number."
"It's going to call the init method with x is equal to 3 and y is equal to 4.
I'm just going to go over here and I wrote this previously, because notice when we're creating an object here, we're only giving it two parameters.
But in the init method, we have actually three parameters, right? We have these three parameters here, but when we're creating an object, we only give it two parameters.
And that's OK because implicitly, Python is going to say self is going to be this object C, so just by default, OK? So when you're creating a coordinate object, you're passing it all the variables except for self.
So this line here is going to call the init and it's going to do every line inside the init.
So it's going to create an x data attribute for C, a y data attribute for C, and it's going to assign 3 and 4 to those respectively.","Why doesn't the innit have a return statement?
Nice ! extremely grateful learn from anna ma'am. Well I have questions( time-----24.11) what is guarantee that use will provide X,Y in distance(self,other) for OTHER parameter.how he/she even know this ? Definitely One way by documentation but any other way .?"
"Um, so, so, so, so there are some logistical changes.
For example, uh, uh, we've gone from- uh, what we used to hand out paper copies of handouts, uh, that we're, we're trying to make this class digital only.
Uh, but let me talk a little bit about, uh, prerequisites as well as in case your friends have taken this class before, some of the differences for this year, right? Um, so prerequisites.
Um, we are going to assume that, um, all of you have a knowledge of basic computer skills and principles.
Uh, so, you know, Big O notation, queues, stacks, binary trees.
Hopefully, you understand what all of those concepts are.
And, uh, assume that all of you have a basic familiarity with, um, uh, probability, right? Hopefully, you know what's a random variable, what's the expected value of a random variable, what's the variance of a random variable.
Um, and if- for some of you, maybe especially the SCPD students taking this remotely, it has been, you know, some number of years since you last had a probability and statistics class.
Uh, we will have review sessions, uh, on, on, on Fridays, uh, where we'll go over some of this prerequisite material as well.
But it's okay.
Hopefully, you know what a random variable is, what expected value is.
But if you're a little bit fuzzy on those concepts, we'll go over them again, um, at a- at a discussion section, uh, on Friday.
Also, seem to be familiar with basic linear algebra.
So hopefully that you know what's a matrix, what's a vector, how to multiply two matrices and multiplying matrices and a vector.
Um, if you know what an eigenvector then that's even better.
Uh, if you're not quite sure what an eigenvector is, we'll go over it that- that you, you, you better- uh, yeah, we'll, we'll, we'll go over it I guess.
And then, um, a large part of this class, uh, uh, is, um, having you practice these ideas through the homeworks, uh, as well as I mention later a, uh, open-ended project.","Do you need to know linear algebra for this course.
Hey bro any previous knowledge is required for this course ?
Hey question, what math should I exactly understand as a background before I start learning this course?"
"I mean, you're not going to have V3 left and V7 left.
There's no way that's going to happen.
You're just going to keep shrinking, taking things from the left or the right.
So it's going to be i and i plus 1.
That make sense? And so in this case, what would you pick? Vi and i plus 1.
You just pick the max.
Because at the end of this, either you did it right or you did it wrong.
Either way, you're going to improve your situation by picking the max of Vi or Vi i plus 1.
So there's no two things about it.
So here, you're going to pick the maximum of the two.
And you might have Vi i plus 2, which is an odd number of coins that your opponent might see.
It gets more complicated for Vi and i plus 2.
We're going to have to now start thinking in more general terms as to what the different moves are.
But we've got the base cases here.
All I did here was take care of the base case or a couple of base cases associated with a single coin, which is what your opponent will see and pick, or two coins, which is your last move.
So with DP, of course, you always have to go down to your base case, and that's when things become easy.","I am not sure what you mean by sum(i,j) here. It looks to me as if the point that your and Praveen's point can be made more clearly by omitting the references to sum, like so (using C ""?"" syntax): V(i,j) = (i == j) ? v[i] : max(v[i]-V(i+1,j), v[j]-V(i,j-1))."
